run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
rate044_A_patch_cb16-2_ch512-1024-20260624-010804,1,0.27943948,0.94810750,0.15163285,0.15163285,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,1,0.25886441,0.70529694,0.12668372,0.12668372,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,2,0.12980878,0.28939938,0.09189967,0.09189967,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,3,0.10124370,0.17649124,0.08123236,0.08123236,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,4,0.08927619,0.14182709,0.07373939,0.07373939,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,5,0.08325920,0.12957184,0.06659933,0.06659933,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,6,0.07592758,0.10906961,0.07479029,0.06659933,0,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,7,0.07273260,0.09916513,0.05815881,0.05815881,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,8,0.06797665,0.08690327,0.05435609,0.05435609,1,Phase1-拓荒,0.000000,5e-05
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,9,0.06712311,0.08686633,0.05391797,0.05391797,1,Phase1-拓荒,0.000000,5e-05
