run_id,epoch,train_recon,train_vq,train_distill,val_recon,val_distill,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,30,0.06293946,0.17326784,0.02488980,0.05514263,0.02356181,0.05433733,0,Phase2-退火(15%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,31,0.06231873,0.17176887,0.02425699,0.05841412,0.02574689,0.05433733,0,Phase2-退火(17%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,32,0.06224280,0.17432217,0.02461826,0.05475763,0.02437154,0.05433733,0,Phase2-退火(18%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,33,0.06133382,0.17425219,0.02467649,0.05509718,0.02497275,0.05433733,0,Phase2-退火(20%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,34,0.06204542,0.18597719,0.02686447,0.05771551,0.02541442,0.05433733,0,Phase2-退火(22%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,35,0.06074832,0.17470390,0.02474255,0.05505935,0.02470838,0.05433733,0,Phase2-退火(23%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,36,0.05963322,0.17218990,0.02534856,0.05701317,0.02906455,0.05433733,0,Phase2-退火(25%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,37,0.05948028,0.17466773,0.02607974,0.05380365,0.02671548,0.05380365,1,Phase2-退火(27%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,38,0.05888524,0.17271362,0.02575475,0.05147123,0.02589393,0.05147123,1,Phase2-退火(28%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,39,0.05865857,0.17619902,0.02647244,0.05374598,0.02694916,0.05147123,0,Phase2-退火(30%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,40,0.05800207,0.17118886,0.02558563,0.05326093,0.02742910,0.05147123,0,Phase2-退火(32%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,41,0.05712609,0.16725451,0.02510933,0.05485705,0.02853436,0.05147123,0,Phase2-退火(33%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,42,0.05800295,0.17978023,0.02709650,0.05341917,0.02569961,0.05147123,0,Phase2-退火(35%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,43,0.05727534,0.18027631,0.02756334,0.05181972,0.02713964,0.05147123,0,Phase2-退火(37%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,44,0.05700132,0.17558570,0.02653218,0.05546563,0.03052077,0.05147123,0,Phase2-退火(38%),0.000000,5e-05
