step,profile,k0,k1,num_images,psnr,ms_ssim,lpips,reconstruction_loss,active_ratio,perplexity,dead_code_count,collapse_ratio,min_l2_distance,src_reference_psnr,src_psnr_gap_db,teacher_psnr,teacher_psnr_drop_db,score,eligible,layer0_codebook_size,layer0_num_assignments,layer0_active_count,layer0_active_ratio,layer0_perplexity,layer0_dead_code_count,layer0_collapse_count,layer0_collapse_ratio,layer0_min_l2_distance,layer1_codebook_size,layer1_num_assignments,layer1_active_count,layer1_active_ratio,layer1_perplexity,layer1_dead_code_count,layer1_collapse_count,layer1_collapse_ratio,layer1_min_l2_distance
1,512x64,512,64,128,25.34697198867798,0.9581140687440407,0.3256934527307749,0.012854267639340833,1.0,236.76865277891102,0.0,0.0,0.486092746257782,,,26.48615664243698,0.24298030138015747,23.770771686236063,True,512,131072,512,1.0,414.6152545172692,0,0,0.0,0.486092746257782,64,32768,64,1.0,58.922051040552844,0,0,0.0,0.8302238583564758
2,512x64,512,64,128,25.353931725025177,0.9581755259439014,0.32627564668655396,0.012837232236051932,1.0,236.416531424979,0.0,0.0,0.39584824442863464,,,26.48615664243698,0.240650475025177,23.780721453825635,True,512,131072,512,1.0,414.9408276410468,0,0,0.0,0.39584824442863464,64,32768,64,1.0,57.89223520891125,0,0,0.0,1.0407196283340454
3,512x64,512,64,128,25.339547872543335,0.9578286701456068,0.3253646669909358,0.01286802307004109,1.0,236.42435376639997,0.0,0.0,0.4434669017791748,,,26.48615664243698,0.2452656626701355,23.761828434467315,True,512,131072,512,1.0,415.1761115500891,0,0,0.0,0.4434669017791748,64,32768,64,1.0,57.672595982710845,0,0,0.0,1.1349462270736694
4,512x64,512,64,128,25.344734609127045,0.9582557170839552,0.32634287886321545,0.01286425773287192,1.0,235.9644895731469,0.0,0.0,0.30563846230506897,,,26.48615664243698,0.24486613273620605,23.768361584345502,True,512,131072,512,1.0,413.7074891933063,0,0,0.0,0.30563846230506897,64,32768,64,1.0,58.22148995298748,0,0,0.0,1.0343862771987915
5,512x64,512,64,128,25.343213379383087,0.9579594598233009,0.3265317566692829,0.01287075926666148,1.0,236.60626354634667,0.0,0.0,0.3388049006462097,,,26.48615664243698,0.24549806118011475,23.768698132038114,True,512,131072,512,1.0,415.4238451444598,0,0,0.0,0.3388049006462097,64,32768,64,1.0,57.78868194823355,0,0,0.0,0.9542540311813354
6,512x64,512,64,128,25.334869742393494,0.9580572580163944,0.32560951728373766,0.012897532869828865,1.0,237.24126435229059,0.0,0.0,0.4818037152290344,,,26.48615664243698,0.2576916813850403,23.76266360680262,True,512,131072,512,1.0,416.5436894762127,0,0,0.0,0.4818037152290344,64,32768,64,1.0,57.93883922836846,0,0,0.0,0.8587333559989929
7,512x64,512,64,128,25.355780839920044,0.9580962861521967,0.3256740877404809,0.012847600330132991,1.0,237.476995303035,0.0,0.0,0.3662109375,,,26.48615664243698,0.24500828981399536,23.773506395022075,True,512,131072,512,1.0,416.5927465251084,0,0,0.0,0.3662109375,64,32768,64,1.0,58.36124408096164,0,0,0.0,0.9945492148399353
8,512x64,512,64,128,25.30912709236145,0.9575308999168893,0.32746253069490194,0.012964255583938211,1.0,236.17178390767353,0.0,0.0,0.3950222432613373,,,26.48615664243698,0.28054559230804443,23.74588285287221,True,512,131072,512,1.0,414.5811875584327,0,0,0.0,0.3950222432613373,64,32768,64,1.0,57.762380256914355,0,0,0.0,0.8889520168304443
9,512x64,512,64,128,25.287195026874542,0.9583825530818851,0.32574138324707747,0.013036373362410814,1.0,235.7280632996148,0.0,0.0,0.35933220386505127,,,26.48615664243698,0.3132801055908203,23.736256504058836,False,512,131072,512,1.0,413.38398430653297,0,0,0.0,0.35933220386505127,64,32768,64,1.0,58.07214229269663,0,0,0.0,1.0156152248382568
10,512x64,512,64,128,25.34002375602722,0.9579980792654287,0.326444280333817,0.012874813022790477,1.0,237.30193522137947,0.0,0.0,0.5056156516075134,,,26.48615664243698,0.24590694904327393,23.773114800453186,True,512,131072,512,1.0,416.8557892659169,0,0,0.0,0.5056156516075134,64,32768,64,1.0,57.74808117684204,0,0,0.0,0.9130590558052063
11,512x64,512,64,128,25.349805235862732,0.958289438289341,0.32638278324157,0.012855518725700676,1.0,235.76140875606893,0.0,0.0,0.44739726185798645,,,26.48615664243698,0.25021761655807495,23.76163587967555,True,512,131072,512,1.0,413.75969791125084,0,0,0.0,0.44739726185798645,64,32768,64,1.0,57.76311960088701,0,0,0.0,1.0205609798431396
12,512x64,512,64,128,25.347493767738342,0.9581992663698742,0.3254227638244629,0.01286624075146392,1.0,237.32380702843474,0.0,0.0,0.38883116841316223,,,26.48615664243698,0.25495731830596924,23.77153835296631,True,512,131072,512,1.0,416.31204592892914,0,0,0.0,0.38883116841316223,64,32768,64,1.0,58.33556812794037,0,0,0.0,1.0342625379562378
13,512x64,512,64,128,25.35076892375946,0.9580989905723472,0.3263541618362069,0.01284480164758861,1.0,237.60397116279472,0.0,0.0,0.34933289885520935,,,26.48615664243698,0.2549787759780884,23.776862641175587,True,512,131072,512,1.0,417.5180629479107,0,0,0.0,0.34933289885520935,64,32768,64,1.0,57.689879377678714,0,0,0.0,1.0716760158538818
14,512x64,512,64,128,25.340429067611694,0.9580690884288531,0.3272741651162505,0.01287044957280159,1.0,236.2726035081021,0.0,0.0,0.45485225319862366,,,26.48615664243698,0.25237226486206055,23.771611460049947,True,512,131072,512,1.0,414.89894487427154,0,0,0.0,0.45485225319862366,64,32768,64,1.0,57.64626214193266,0,0,0.0,0.9452348351478577
15,512x64,512,64,128,25.344774425029755,0.9583037610636668,0.32629041373729706,0.012877296627266333,1.0,237.73128428022758,0.0,0.0,0.392022043466568,,,26.48615664243698,0.2575213313102722,23.767342364788053,True,512,131072,512,1.0,417.603503808648,0,0,0.0,0.392022043466568,64,32768,64,1.0,57.859064751807175,0,0,0.0,0.949050784111023
16,512x64,512,64,128,25.34877473115921,0.95819223305814,0.3252760712057352,0.012853207503212616,1.0,237.64036347938472,0.0,0.0,0.2752707004547119,,,26.48615664243698,0.24843692779541016,23.768363511562345,True,512,131072,512,1.0,417.3841055504407,0,0,0.0,0.2752707004547119,64,32768,64,1.0,57.89662140832869,0,0,0.0,0.9671908617019653
17,512x64,512,64,128,25.32685214281082,0.9580730929146797,0.3265640176832676,0.01291106516146101,1.0,237.29220353842516,0.0,0.0,0.3564102053642273,,,26.48615664243698,0.26657623052597046,23.760101902484898,True,512,131072,512,1.0,417.253769975788,0,0,0.0,0.3564102053642273,64,32768,64,1.0,57.33063710106231,0,0,0.0,1.0776760578155518
18,512x64,512,64,128,25.350077748298645,0.9582888695972307,0.32655272353440523,0.012841415329603478,1.0,234.958152895318,0.0,0.0,0.5233796238899231,,,26.48615664243698,0.2471715211868286,23.784650619824728,True,512,131072,512,1.0,412.55011566756855,0,0,0.0,0.5233796238899231,64,32768,64,1.0,57.36619012306745,0,0,0.0,1.0020456314086914
19,512x64,512,64,128,25.356880247592926,0.9581457261299049,0.3264936124905944,0.012824803532566875,1.0,236.75997602475852,0.0,0.0,0.3334101140499115,,,26.48615664243698,0.2470031976699829,23.78570580482483,True,512,131072,512,1.0,416.07655469887885,0,0,0.0,0.3334101140499115,64,32768,64,1.0,57.443397350638186,0,0,0.0,0.9359825849533081
20,512x64,512,64,128,25.337772250175476,0.9579338616970222,0.3262165943160653,0.012871916056610644,1.0,235.38206523635512,0.0,0.0,0.5012441873550415,,,26.48615664243698,0.2621224522590637,23.77678170998891,True,512,131072,512,1.0,413.28360282287645,0,0,0.0,0.5012441873550415,64,32768,64,1.0,57.48052764983376,0,0,0.0,1.0319114923477173
