epoch,stage,train_loss,val_psnr,val_mse_0_1,best_score,learning_rate,seconds
1,src_teacher,0.31162475415004565,19.24106401205063,0.0124607409525197,19.24106401205063,4.999707002143944e-05,210.91602396965027
1,src_teacher,0.3096564022348293,18.991553604602814,0.013193383521866053,18.991553604602814,4.999707002143944e-05,209.76289105415344
2,src_teacher,0.24500183831091313,20.55896943807602,0.00926759214780759,20.55896943807602,4.998828080868613e-05,206.4633824825287
3,src_teacher,0.1789765166677477,20.412301778793335,0.009519931802060455,20.55896943807602,4.997363453034679e-05,210.0754337310791
4,src_teacher,0.1311776165976766,21.577297747135162,0.007376151406788267,21.577297747135162,4.9953134800171453e-05,210.50324058532715
5,src_teacher,0.0994362338599431,21.296815097332,0.007838827863452025,21.577297747135162,4.99267866761618e-05,210.51381015777588
6,src_teacher,0.07836882383952473,21.888400971889496,0.006851317317341454,21.888400971889496,4.989459665932315e-05,210.44780492782593
7,src_teacher,0.06505599404591117,22.593186497688293,0.005898270508623682,22.593186497688293,4.985657269206052e-05,210.5469958782196
8,src_teacher,0.05588664209995514,22.71351194381714,0.005729952565161511,22.71351194381714,4.981272415621885e-05,208.84780406951904
9,src_teacher,0.0493842075714956,22.297201573848724,0.006221282194019295,22.71351194381714,4.9763061870768245e-05,210.12042045593262
10,src_teacher,0.0444267688225293,23.156296372413635,0.005201218038564548,23.156296372413635,4.970759808913453e-05,210.93095445632935
11,src_teacher,0.04047602920364019,23.356910049915314,0.004971001166268252,23.356910049915314,4.964634649617588e-05,211.03819155693054
12,src_teacher,0.037536673349088674,23.435765504837036,0.004872371668170672,23.435765504837036,4.957932220480636e-05,211.10561275482178
13,src_teacher,0.03515876768686851,22.943868815898895,0.005444042675662786,23.435765504837036,4.950654175226694e-05,210.5573215484619
14,src_teacher,0.0333684194564893,23.66545557975769,0.004629542905604467,23.66545557975769,4.9428023096045254e-05,209.88625717163086
15,src_teacher,0.032270303335539124,23.336333453655243,0.005004604077839758,23.66545557975769,4.934378560944482e-05,210.51387763023376
16,src_teacher,0.031219826927791232,23.676138997077942,0.004606616974342614,23.676138997077942,4.925385007680499e-05,211.5090672969818
17,src_teacher,0.03012730114007755,24.119804084300995,0.00420000094891293,24.119804084300995,4.91582386883727e-05,208.70782375335693
18,src_teacher,0.0292591646953538,24.173053801059723,0.004150591419602279,24.173053801059723,4.90569750348274e-05,205.38542366027832
19,src_teacher,0.028696541552445404,24.10259735584259,0.004202840682410169,24.173053801059723,4.8950084101460344e-05,206.1316680908203
20,src_teacher,0.028021580728382598,24.325735986232758,0.004008545241958927,24.325735986232758,4.88375922620099e-05,204.57978534698486
21,src_teacher,0.027376456269611722,24.32965850830078,0.0040013757316046394,24.32965850830078,4.87195272721542e-05,203.46207070350647
22,src_teacher,0.026793263116054487,23.78552746772766,0.004464302699489053,24.32965850830078,4.859591826266286e-05,210.9885289669037
23,src_teacher,0.026274756982158393,24.558041036128998,0.0038033732416806743,24.558041036128998,4.846679573220936e-05,210.11100149154663
24,src_teacher,0.025850070472133446,24.36936777830124,0.003963139337429311,24.558041036128998,4.833219153984597e-05,207.4606590270996
25,src_teacher,0.02552324880155049,24.572875440120697,0.003782678810239304,24.572875440120697,4.8192138897143064e-05,207.26080322265625
26,src_teacher,0.025364506862261226,24.318916261196136,0.0039918134425533935,24.572875440120697,4.804667235999456e-05,207.60174179077148
27,src_teacher,0.02487332582764919,24.726409673690796,0.0036689517874037847,24.726409673690796,4.789582782009183e-05,210.62967991828918
28,src_teacher,0.025042686743473597,24.66033834218979,0.003723830268427264,24.726409673690796,4.7739642496067964e-05,207.64336156845093
