epoch,stage,train_profile_loss,validation_score,weighted_mean_psnr,worst_profile,worst_psnr,teacher_drop_db,eligible,best_score,covered_profiles,min_sample_count,max_sample_count,layer0_vq_weight,layer1_vq_weight,channel_probability,seconds
1,identity_warmup,0.06027395561035949,20.259625069300334,22.17024486263593,16x2,12.617145895957947,0.01306825876235962,True,20.259625069300334,4,1617,3237,0.25,0.5,0.0,828.4173607826233
2,identity_warmup,0.03801198302414381,20.494798157612482,22.277232592304546,16x2,13.365060418844223,0.015848815441131592,True,20.494798157612482,4,3237,6474,0.25,0.5,0.0,834.3141922950745
3,identity_warmup,0.03585702579649939,20.14922133485476,22.13190818329652,16x2,12.218473941087723,0.003728628158569336,True,20.494798157612482,4,4854,9711,0.25,0.5,0.0,834.2907059192657
4,identity_warmup,0.03504622170852959,20.451593852043153,22.386473387479782,16x2,12.71207571029663,0.001489877700805664,True,20.494798157612482,4,6474,12948,0.25,0.5,0.0,792.3612439632416
5,identity_warmup,0.05166390608167927,18.500749121109646,20.193594162662823,16x2,11.729368954896927,0.022296607494354248,True,20.494798157612482,4,8091,16185,0.25,0.5,0.0,823.7929408550262
6,identity_warmup,0.03800820280125398,19.611949843168258,21.42907370626926,16x2,12.343454390764236,0.007824063301086426,True,20.494798157612482,4,9711,19422,0.25,0.5,0.0,823.2647347450256
7,identity_warmup,0.034605903792276634,20.16318303346634,22.064705610275265,16x2,12.557092726230621,-3.993511199951172e-06,True,20.494798157612482,4,11328,22659,0.25,0.5,0.0,834.5677583217621
8,identity_warmup,0.0332658629996418,20.387993077437084,22.31741060813268,16x2,12.670322954654694,0.0007911324501037598,True,20.494798157612482,4,12948,25896,0.25,0.5,0.0,830.7955846786499
9,identity_warmup,0.03513650424186159,20.033081134160362,22.282829980055492,16x2,11.034085750579834,0.03038865327835083,True,20.494798157612482,4,14565,29133,0.25,0.5,0.0,824.0141470432281
10,identity_warmup,0.032994879852267234,20.520446983973187,22.515727778275807,16x2,12.539323806762695,0.0033400654792785645,True,20.520446983973187,4,16185,32370,0.25,0.5,0.0,828.0686757564545
11,identity_warmup,0.03270422903965303,20.572795724868772,22.555438905954357,16x2,12.642223000526428,0.004589080810546875,True,20.572795724868772,4,17802,35607,0.25,0.5,0.0,831.5604305267334
12,identity_warmup,0.03261047890418459,20.438825633128484,22.546335364381473,16x2,12.008786708116531,0.0014638900756835938,True,20.572795724868772,4,19422,38844,0.25,0.5,0.0,829.7670848369598
13,identity_warmup,0.032527823574172,20.498511590560277,22.579400147000946,16x2,12.174957364797592,-0.002210676670074463,True,20.572795724868772,4,21039,42081,0.25,0.5,0.0,844.4584398269653
14,identity_warmup,0.03247282414901098,20.634839669863382,22.69925804932912,16x2,12.377166152000427,-0.0012443065643310547,True,20.634839669863382,4,22659,45318,0.25,0.5,0.0,837.3582537174225
15,identity_warmup,0.03244331432750997,20.566271332899728,22.67595638831456,16x2,12.127531111240387,-0.0019099116325378418,True,20.634839669863382,4,24276,48555,0.25,0.5,0.0,841.7575831413269
16,identity_warmup,0.03237743708335271,20.593182530005777,22.654669011632603,16x2,12.347236603498459,-0.0030815601348876953,True,20.634839669863382,4,25896,51792,0.25,0.5,0.0,840.5171461105347
17,identity_warmup,0.03235332554287003,20.54539052049319,22.65727523465951,16x2,12.097851663827896,-0.002991020679473877,True,20.634839669863382,4,27513,55029,0.25,0.5,0.0,831.8825817108154
18,identity_warmup,0.03230066140681112,20.59525437951088,22.672483786940575,16x2,12.286336749792099,-0.0019719600677490234,True,20.634839669863382,4,29133,58266,0.25,0.5,0.0,836.7756025791168
19,identity_warmup,0.032301000191773226,20.529618750015896,22.638864790399868,16x2,12.092634588479996,-0.0015685558319091797,True,20.634839669863382,4,30750,61503,0.25,0.5,0.0,837.4663624763489
20,identity_warmup,0.032309841257113864,20.53188839157422,22.64197533826033,16x2,12.091540604829788,-0.0030410289764404297,True,20.634839669863382,4,32370,64740,0.25,0.5,0.0,838.5827949047089
