run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
quality_v1_unet2_ds4x2_k64-003-resume,41,0.00913918,0.03690909,0.00942106,0.00813893,0,Phase2-退火(33%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,42,0.00968943,0.03845864,0.01060914,0.00813893,0,Phase2-退火(35%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,43,0.00891977,0.03703863,0.01201393,0.00813893,0,Phase2-退火(37%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,44,0.00883308,0.03637812,0.00910784,0.00813893,0,Phase2-退火(38%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,45,0.00880760,0.03616582,0.00817416,0.00813893,0,Phase2-退火(40%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,46,0.00876394,0.03681575,0.00739626,0.00739626,1,Phase2-退火(42%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,47,0.00852318,0.03592526,0.00892314,0.00739626,0,Phase2-退火(43%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,48,0.00846986,0.03566061,0.00765038,0.00739626,0,Phase2-退火(45%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,49,0.00861236,0.03581493,0.01209191,0.00739626,0,Phase2-退火(47%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,50,0.00858976,0.03645152,0.00711974,0.00711974,1,Phase2-退火(48%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,51,0.00825150,0.03549114,0.01013091,0.00711974,0,Phase2-退火(50%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,52,0.00847062,0.03619568,0.01059310,0.00711974,0,Phase2-退火(52%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,53,0.00832817,0.03588459,0.00988619,0.00711974,0,Phase2-退火(53%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,54,0.00829006,0.03565694,0.00796851,0.00711974,0,Phase2-退火(55%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,55,0.00805409,0.03518438,0.00839779,0.00711974,0,Phase2-退火(57%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,56,0.00892735,0.03690231,0.01131026,0.00711974,0,Phase2-退火(58%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,57,0.00789470,0.03520755,0.00654389,0.00654389,1,Phase2-退火(60%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,58,0.00788373,0.03494573,0.00803811,0.00654389,0,Phase2-退火(62%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,59,0.00790600,0.03490313,0.00749587,0.00654389,0,Phase2-退火(63%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,60,0.00782234,0.03515368,0.00818449,0.00654389,0,Phase2-退火(65%),5e-05
