step,profile,k0,k1,num_images,psnr,ms_ssim,lpips,reconstruction_loss,active_ratio,perplexity,dead_code_count,collapse_ratio,min_l2_distance,src_reference_psnr,src_psnr_gap_db,teacher_psnr,teacher_psnr_drop_db,score,eligible,layer0_codebook_size,layer0_num_assignments,layer0_active_count,layer0_active_ratio,layer0_perplexity,layer0_dead_code_count,layer0_collapse_count,layer0_collapse_ratio,layer0_min_l2_distance,layer1_codebook_size,layer1_num_assignments,layer1_active_count,layer1_active_ratio,layer1_perplexity,layer1_dead_code_count,layer1_collapse_count,layer1_collapse_ratio,layer1_min_l2_distance
1,512x64,512,64,128,24.098469376564026,0.9460011028444332,0.3610705491155386,0.016741368162911385,1.0,201.2548696379631,0.0,0.0,0.39826512336730957,,,26.48615664243698,0.01306825876235962,20.259625069300334,True,512,131072,512,1.0,359.71409507462926,0,0,0.0,0.4338173568248749,64,32768,64,1.0,42.79564420129698,0,0,0.0,0.39826512336730957
2,512x64,512,64,128,24.233338356018066,0.9469233117856044,0.3548058122396469,0.01628644103766419,1.0,230.68994632321187,0.0,0.0,0.2511000335216522,,,26.48615664243698,0.015848815441131592,20.494798157612482,True,512,131072,512,1.0,416.1901768996174,0,0,0.0,0.2511000335216522,64,32768,64,1.0,45.189715746806286,0,0,0.0,0.4505404829978943
3,512x64,512,64,128,24.300712823867798,0.9480716785844224,0.3539969203993678,0.016040648421039805,1.0,232.68730921080592,0.0,0.0,0.2873675227165222,,,26.48615664243698,0.003728628158569336,20.14922133485476,True,512,131072,512,1.0,420.47890017525975,0,0,0.0,0.2873675227165222,64,32768,64,1.0,44.89571824635207,0,0,0.0,0.33954617381095886
4,512x64,512,64,128,24.670848488807678,0.9516436375604284,0.34358337987214327,0.014821070013567805,1.0,237.95712194002994,0.0,0.0,0.3528969883918762,,,26.48615664243698,0.001489877700805664,20.451593852043153,True,512,131072,512,1.0,426.3691299775586,0,0,0.0,0.3528969883918762,64,32768,64,1.0,49.54511390250125,0,0,0.0,0.46550390124320984
5,512x64,512,64,128,20.471516370773315,0.8981112088103578,0.5112358490005136,0.037769633694551885,1.0,100.32269099871932,0.0,0.0,0.1897348165512085,,,26.48615664243698,0.022296607494354248,18.500749121109646,True,512,131072,512,1.0,179.24143294724917,0,0,0.0,0.3277760446071625,64,32768,64,1.0,21.40394905018948,0,0,0.0,0.1897348165512085
6,512x64,512,64,128,22.94367790222168,0.9294475518177858,0.39668988063931465,0.021663024061126634,1.0,126.19374128651478,0.0,0.0,0.2538762092590332,,,26.48615664243698,0.007824063301086426,19.611949843168258,True,512,131072,512,1.0,217.40827212043092,0,0,0.0,0.44190505146980286,64,32768,64,1.0,34.979210452598636,0,0,0.0,0.2538762092590332
7,512x64,512,64,128,23.65337187051773,0.9390361794761756,0.37155551835894585,0.01840037980582565,1.0,130.65910572848162,0.0,0.0,0.3010997176170349,,,26.48615664243698,-3.993511199951172e-06,20.16318303346634,True,512,131072,512,1.0,215.88395790905503,0,0,0.0,0.48089927434921265,64,32768,64,1.0,45.43425354790822,0,0,0.0,0.3010997176170349
8,512x64,512,64,128,23.83524990081787,0.9425251696911726,0.3650415828451514,0.017802106158342212,1.0,143.25071499054957,0.0,0.0,0.3465366065502167,,,26.48615664243698,0.0007911324501037598,20.387993077437084,True,512,131072,512,1.0,235.2928633832759,0,0,0.0,0.3465366065502167,64,32768,64,1.0,51.20856659782328,0,0,0.0,0.3555169403553009
9,512x64,512,64,128,24.68887573480606,0.9495006826854675,0.3470805175602436,0.014770815032534301,1.0,207.34249753819662,0.0,0.0,0.38835766911506653,,,26.48615664243698,0.03038865327835083,20.033081134160362,True,512,131072,512,1.0,365.9177948135841,0,0,0.0,0.4814992845058441,64,32768,64,1.0,48.76720026280911,0,0,0.0,0.38835766911506653
10,512x64,512,64,128,24.621084332466125,0.950091308886875,0.34458111226558685,0.01491883338894695,1.0,222.19548183266022,0.0,0.0,0.42967861890792847,,,26.48615664243698,0.0033400654792785645,20.520446983973187,True,512,131072,512,1.0,395.80220902570017,0,0,0.0,0.4658542275428772,64,32768,64,1.0,48.588754639620255,0,0,0.0,0.42967861890792847
11,512x64,512,64,128,24.6577690243721,0.9504513018121192,0.34420445654541254,0.01480654554325156,1.0,214.9477171482875,0.0,0.0,0.4363459050655365,,,26.48615664243698,0.004589080810546875,20.572795724868772,True,512,131072,512,1.0,381.5314136156421,0,0,0.0,0.5227314829826355,64,32768,64,1.0,48.364020680932896,0,0,0.0,0.4363459050655365
12,512x64,512,64,128,24.75511533021927,0.9514138771863959,0.3407177021726966,0.01448785827960819,1.0,218.19334727472503,0.0,0.0,0.416644424200058,,,26.48615664243698,0.0014638900756835938,20.438825633128484,True,512,131072,512,1.0,386.9791915742664,0,0,0.0,0.4242561459541321,64,32768,64,1.0,49.40750297518365,0,0,0.0,0.416644424200058
13,512x64,512,64,128,24.77374130487442,0.9512419882980176,0.3409603126347065,0.014417652651900426,1.0,215.35777762560446,0.0,0.0,0.42573827505111694,,,26.48615664243698,-0.002210676670074463,20.498511590560277,True,512,131072,512,1.0,380.57959624216215,0,0,0.0,0.4623335003852844,64,32768,64,1.0,50.13595900904677,0,0,0.0,0.42573827505111694
14,512x64,512,64,128,24.900130808353424,0.9526785271575939,0.33902633376419544,0.01404752695816569,1.0,214.49306440555674,0.0,0.0,0.465649276971817,,,26.48615664243698,-0.0012443065643310547,20.634839669863382,True,512,131072,512,1.0,376.92169485537835,0,0,0.0,0.4673808217048645,64,32768,64,1.0,52.064433955735126,0,0,0.0,0.465649276971817
15,512x64,512,64,128,24.936711966991425,0.9529148251515682,0.33764391113072634,0.01394540217006579,1.0,215.25399298713344,0.0,0.0,0.38784271478652954,,,26.48615664243698,-0.0019099116325378418,20.566271332899728,True,512,131072,512,1.0,378.33088709572763,0,0,0.0,0.38784271478652954,64,32768,64,1.0,52.177098878539276,0,0,0.0,0.4894183278083801
16,512x64,512,64,128,24.91516363620758,0.9527727219849,0.3371052322909236,0.014016204833751544,1.0,213.7886589921823,0.0,0.0,0.4135268032550812,,,26.48615664243698,-0.0030815601348876953,20.593182530005777,True,512,131072,512,1.0,376.0062434832555,0,0,0.0,0.4135268032550812,64,32768,64,1.0,51.571074501109074,0,0,0.0,0.47405245900154114
