step,profile,k0,k1,num_images,psnr,ms_ssim,lpips,reconstruction_loss,active_ratio,perplexity,dead_code_count,collapse_ratio,min_l2_distance,src_reference_psnr,src_psnr_gap_db,teacher_psnr,teacher_psnr_drop_db,score,eligible,layer0_codebook_size,layer0_num_assignments,layer0_active_count,layer0_active_ratio,layer0_perplexity,layer0_dead_code_count,layer0_collapse_count,layer0_collapse_ratio,layer0_min_l2_distance,layer1_codebook_size,layer1_num_assignments,layer1_active_count,layer1_active_ratio,layer1_perplexity,layer1_dead_code_count,layer1_collapse_count,layer1_collapse_ratio,layer1_min_l2_distance
1,1024x256,1024,256,128,25.784661948680878,0.9649300194957077,0.31224171817302704,0.011712875711964443,1.0,478.0038444162837,0.0,0.0,0.25166836380958557,,,26.48615664243698,0.01306825876235962,20.259625069300334,True,1024,131072,1024,1.0,752.4967189188608,0,0,0.0,0.3100705146789551,256,32768,256,1.0,203.51096991370665,0,0,0.0,0.25166836380958557
2,1024x256,1024,256,128,25.80795109272003,0.9649420695042006,0.3115810686722398,0.01163637833087705,1.0,517.4392772875865,0.0,0.0,0.21022649109363556,,,26.48615664243698,0.015848815441131592,20.494798157612482,True,1024,131072,1024,1.0,834.342885049357,0,0,0.0,0.34758493304252625,256,32768,256,1.0,200.53566952581596,0,0,0.0,0.21022649109363556
3,1024x256,1024,256,128,25.793385565280914,0.964911125368627,0.3110959120094776,0.011648354266071692,1.0,527.2550384144647,0.0,0.0,0.2924878001213074,,,26.48615664243698,0.003728628158569336,20.14922133485476,True,1024,131072,1024,1.0,852.3430447637476,0,0,0.0,0.2924878001213074,256,32768,256,1.0,202.16703206518173,0,0,0.0,0.3845638632774353
4,1024x256,1024,256,128,25.919372856616974,0.9654232117459953,0.30871894769370556,0.011338514072122052,1.0,516.3642152232804,0.0,0.0,0.2833647131919861,,,26.48615664243698,0.001489877700805664,20.451593852043153,True,1024,131072,1024,1.0,826.0281041844155,0,0,0.0,0.388427197933197,256,32768,256,1.0,206.70032626214538,0,0,0.0,0.2833647131919861
5,1024x256,1024,256,128,25.31531834602356,0.9602878954572704,0.3246018458157778,0.012902351707452908,1.0,463.4251643851355,0.0,0.0,0.17758944630622864,,,26.48615664243698,0.022296607494354248,18.500749121109646,True,1024,131072,1024,1.0,795.2358050315255,0,0,0.0,0.47508737444877625,256,32768,256,1.0,131.61452373874545,0,0,0.0,0.17758944630622864
6,1024x256,1024,256,128,25.62070494890213,0.9625723742585888,0.31513782404363155,0.012081801512977108,1.0,464.82088699097875,0.0,0.0,0.22672870755195618,,,26.48615664243698,0.007824063301086426,19.611949843168258,True,1024,131072,1024,1.0,757.6956091863385,0,0,0.0,0.38835275173187256,256,32768,256,1.0,171.94616479561896,0,0,0.0,0.22672870755195618
7,1024x256,1024,256,128,25.820321321487427,0.9642087552200067,0.30996568966656923,0.011539594561327249,1.0,476.15592602508946,0.0,0.0,0.31661489605903625,,,26.48615664243698,-3.993511199951172e-06,20.16318303346634,True,1024,131072,1024,1.0,754.3104906410259,0,0,0.0,0.42971691489219666,256,32768,256,1.0,198.001361409153,0,0,0.0,0.31661489605903625
8,1024x256,1024,256,128,25.891976714134216,0.9648451047961074,0.30810509715229273,0.011386817932361737,1.0,499.24254490464165,0.0,0.0,0.3579297959804535,,,26.48615664243698,0.0007911324501037598,20.387993077437084,True,1024,131072,1024,1.0,789.8149511610866,0,0,0.0,0.3845333456993103,256,32768,256,1.0,208.67013864819668,0,0,0.0,0.3579297959804535
9,1024x256,1024,256,128,25.836267113685608,0.9641992536351619,0.3102826904505491,0.011543097993126139,1.0,464.72713222863126,0.0,0.0,0.36970341205596924,,,26.48615664243698,0.03038865327835083,20.033081134160362,True,1024,131072,1024,1.0,738.9763799754236,0,0,0.0,0.45799583196640015,256,32768,256,1.0,190.47788448183897,0,0,0.0,0.36970341205596924
10,1024x256,1024,256,128,25.90139251947403,0.964850576502832,0.3083882909268141,0.011347936146194115,1.0,491.1151514098729,0.0,0.0,0.36494940519332886,,,26.48615664243698,0.0033400654792785645,20.520446983973187,True,1024,131072,1024,1.0,779.6817824808894,0,0,0.0,0.4437592923641205,256,32768,256,1.0,202.54852033885638,0,0,0.0,0.36494940519332886
11,1024x256,1024,256,128,25.891955733299255,0.9647867187348486,0.3084491938352585,0.011366828533937223,1.0,477.6067977561836,0.0,0.0,0.377323180437088,,,26.48615664243698,0.004589080810546875,20.572795724868772,True,1024,131072,1024,1.0,754.9216392191861,0,0,0.0,0.5156545639038086,256,32768,256,1.0,200.29195629318104,0,0,0.0,0.377323180437088
12,1024x256,1024,256,128,25.932385802268982,0.9650688115117847,0.30900666676461697,0.011280377104412764,1.0,487.88712767766305,0.0,0.0,0.4094575345516205,,,26.48615664243698,0.0014638900756835938,20.438825633128484,True,1024,131072,1024,1.0,771.2806163419714,0,0,0.0,0.419214129447937,256,32768,256,1.0,204.4936390133547,0,0,0.0,0.4094575345516205
13,1024x256,1024,256,128,25.954794466495514,0.964972756723,0.30774836521595716,0.011226429283851758,1.0,483.66327080430057,0.0,0.0,0.3512422442436218,,,26.48615664243698,-0.002210676670074463,20.498511590560277,True,1024,131072,1024,1.0,762.9569326668214,0,0,0.0,0.45130714774131775,256,32768,256,1.0,204.36960894177966,0,0,0.0,0.3512422442436218
14,1024x256,1024,256,128,25.97996759414673,0.9653286711916678,0.3067139321938157,0.011168223136337474,1.0,486.91748945671657,0.0,0.0,0.3975299000740051,,,26.48615664243698,-0.0012443065643310547,20.634839669863382,True,1024,131072,1024,1.0,761.8125702101603,0,0,0.0,0.4583970308303833,256,32768,256,1.0,212.02240870327287,0,0,0.0,0.3975299000740051
15,1024x256,1024,256,128,25.98603367805481,0.9652886306247486,0.30664858501404524,0.011163546107127331,1.0,486.5099222417797,0.0,0.0,0.36953312158584595,,,26.48615664243698,-0.0019099116325378418,20.566271332899728,True,1024,131072,1024,1.0,763.1214941113938,0,0,0.0,0.39412251114845276,256,32768,256,1.0,209.89835037216557,0,0,0.0,0.36953312158584595
16,1024x256,1024,256,128,25.981391847133636,0.9652536423288364,0.3070537680760026,0.011177074411534704,1.0,485.71350652369523,0.0,0.0,0.360395222902298,,,26.48615664243698,-0.0030815601348876953,20.593182530005777,True,1024,131072,1024,1.0,760.2661024525964,0,0,0.0,0.39832258224487305,256,32768,256,1.0,211.16091059479402,0,0,0.0,0.360395222902298
17,1024x256,1024,256,128,25.98623824119568,0.9652360416901732,0.30678367242217064,0.011160094232764095,1.0,482.7570123708819,0.0,0.0,0.42712122201919556,,,26.48615664243698,-0.002991020679473877,20.54539052049319,True,1024,131072,1024,1.0,756.1505894774618,0,0,0.0,0.4387717843055725,256,32768,256,1.0,209.36343526430198,0,0,0.0,0.42712122201919556
18,1024x256,1024,256,128,25.970440685749054,0.9651832641142324,0.30750119406729937,0.011193565907888114,1.0,490.0757987835031,0.0,0.0,0.4037248194217682,,,26.48615664243698,-0.0019719600677490234,20.59525437951088,True,1024,131072,1024,1.0,769.1442693370744,0,0,0.0,0.4037248194217682,256,32768,256,1.0,211.0073282299318,0,0,0.0,0.4114585816860199
19,1024x256,1024,256,128,25.975335478782654,0.9651993611823382,0.3073011180385947,0.01118357306404505,1.0,493.2288339192513,0.0,0.0,0.36019670963287354,,,26.48615664243698,-0.0015685558319091797,20.529618750015896,True,1024,131072,1024,1.0,775.0088373882049,0,0,0.0,0.36019670963287354,256,32768,256,1.0,211.44883045029766,0,0,0.0,0.4035578668117523
20,1024x256,1024,256,128,25.987566709518433,0.9652716121006143,0.30713012535125017,0.011160373178427108,1.0,489.50293997279584,0.0,0.0,0.35197457671165466,,,26.48615664243698,-0.0030410289764404297,20.53188839157422,True,1024,131072,1024,1.0,768.2983833754279,0,0,0.0,0.35197457671165466,256,32768,256,1.0,210.70749657016376,0,0,0.0,0.41760581731796265
