run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
auto-gn_v1_k64,50,0.00779580,0.04045932,0.00724203,0.00671389,0,Phase2-退火(48%),5e-05
auto-gn_v1_k64,51,0.00777388,0.04034061,0.00643987,0.00643987,1,Phase2-退火(50%),5e-05
auto-gn_v1_k64,52,0.00764403,0.04033042,0.00715570,0.00643987,0,Phase2-退火(52%),5e-05
auto-gn_v1_k64,53,0.00767936,0.04036617,0.00703189,0.00643987,0,Phase2-退火(53%),5e-05
auto-gn_v1_k64,54,0.00767028,0.04059077,0.00656151,0.00643987,0,Phase2-退火(55%),5e-05
auto-gn_v1_k64,55,0.00758046,0.04047217,0.00742340,0.00643987,0,Phase2-退火(57%),5e-05
auto-gn_v1_k64,56,0.00759587,0.04051858,0.00692657,0.00643987,0,Phase2-退火(58%),5e-05
auto-gn_v1_k64,57,0.00747931,0.04062074,0.00680794,0.00643987,0,Phase2-退火(60%),5e-05
auto-gn_v1_k64,58,0.00746368,0.04066230,0.00633923,0.00633923,1,Phase2-退火(62%),5e-05
auto-gn_v1_k64,59,0.00742617,0.04067928,0.00652385,0.00633923,0,Phase2-退火(63%),5e-05
auto-gn_v1_k64,60,0.00731658,0.04093666,0.00680871,0.00633923,0,Phase2-退火(65%),5e-05
auto-gn_v1_k64,61,0.00721197,0.04061903,0.00635940,0.00633923,0,Phase2-退火(67%),5e-05
auto-gn_v1_k64,62,0.00718280,0.04061400,0.00733279,0.00633923,0,Phase2-退火(68%),5e-05
auto-gn_v1_k64,63,0.00713917,0.04048786,0.00674832,0.00633923,0,Phase2-退火(70%),5e-05
auto-gn_v1_k64,64,0.00702045,0.04044934,0.00648128,0.00633923,0,Phase2-退火(72%),5e-05
auto-gn_v1_k64,65,0.00711541,0.04078707,0.00680222,0.00633923,0,Phase2-退火(73%),5e-05
auto-gn_v1_k64,66,0.00706668,0.04089601,0.00716486,0.00633923,0,Phase2-退火(75%),5e-05
auto-gn_v1_k64,67,0.00699630,0.04106868,0.00651547,0.00633923,0,Phase2-退火(77%),5e-05
auto-gn_v1_k64,68,0.00690510,0.04097167,0.00679697,0.00633923,0,Phase2-退火(78%),5e-05
auto-gn_v1_k64,69,0.00686932,0.04080911,0.00637692,0.00633923,0,Phase2-退火(80%),5e-05
auto-gn_v1_k64,70,0.00686934,0.04080253,0.00634317,0.00633923,0,Phase2-退火(82%),5e-05
auto-gn_v1_k64,71,0.00678809,0.04081486,0.00640439,0.00633923,0,Phase2-退火(83%),5e-05
auto-gn_v1_k64,72,0.00683397,0.04096058,0.00670141,0.00633923,0,Phase2-退火(85%),5e-05
auto-gn_v1_k64,73,0.00668492,0.04077609,0.00603021,0.00603021,1,Phase2-退火(87%),5e-05
auto-gn_v1_k64,74,0.00667812,0.04076015,0.00640523,0.00603021,0,Phase2-退火(88%),5e-05
auto-gn_v1_k64,75,0.00656708,0.04046726,0.00613392,0.00603021,0,Phase2-退火(90%),5e-05
auto-gn_v1_k64,76,0.00653894,0.04051890,0.00655622,0.00603021,0,Phase2-退火(92%),5e-05
auto-gn_v1_k64,77,0.00643752,0.04048466,0.00629933,0.00603021,0,Phase2-退火(93%),5e-05
auto-gn_v1_k64,78,0.00638861,0.04044210,0.00617277,0.00603021,0,Phase2-退火(95%),5e-05
auto-gn_v1_k64,79,0.00632985,0.04036801,0.00628059,0.00603021,0,Phase2-退火(97%),5e-05
auto-gn_v1_k64,80,0.00630485,0.04033204,0.00689642,0.00603021,0,Phase2-退火(98%),5e-05
auto-gn_v1_k64,81,0.00626245,0.04032394,0.00652526,0.00603021,0,Phase3-微调,5e-05
auto-gn_v1_k64,82,0.00630954,0.04059326,0.00649034,0.00603021,0,Phase3-微调,5e-05
auto-gn_v1_k64,83,0.00674680,0.03968350,0.00629515,0.00603021,0,Phase3-微调,5e-05
auto-gn_v1_k64,84,0.00616590,0.03945396,0.00606959,0.00603021,0,Phase3-微调,5e-05
auto-gn_v1_k64,85,0.00619338,0.03981417,0.00710340,0.00603021,0,Phase3-微调,5e-05
auto-gn_v1_k64,86,0.00621013,0.03985010,0.00596534,0.00596534,1,Phase3-微调,5e-05
auto-gn_v1_k64,87,0.00617415,0.03977555,0.00610336,0.00596534,0,Phase3-微调,5e-05
auto-gn_v1_k64,88,0.00615183,0.03974155,0.00592254,0.00592254,1,Phase3-微调,5e-05
auto-gn_v1_k64,89,0.00614773,0.03959024,0.00630508,0.00592254,0,Phase3-微调,5e-05
auto-gn_v1_k64,90,0.00610051,0.03946282,0.00615640,0.00592254,0,Phase3-微调,5e-05
auto-gn_v1_k64,91,0.00611449,0.03946856,0.00632970,0.00592254,0,Phase3-微调,5e-05
auto-gn_v1_k64,92,0.00610583,0.03942028,0.00590213,0.00590213,1,Phase3-微调,5e-05
auto-gn_v1_k64,93,0.00614025,0.03949864,0.00642489,0.00590213,0,Phase3-微调,5e-05
auto-gn_v1_k64,94,0.00605733,0.03931102,0.00590899,0.00590213,0,Phase3-微调,5e-05
auto-gn_v1_k64,95,0.00612061,0.03949426,0.00618936,0.00590213,0,Phase3-微调,5e-05
auto-gn_v1_k64,96,0.00601224,0.03901299,0.00605320,0.00590213,0,Phase3-微调,5e-05
auto-gn_v1_k64,97,0.00603685,0.03899478,0.00570225,0.00570225,1,Phase3-微调,5e-05
auto-gn_v1_k64,98,0.00599092,0.03883057,0.00595278,0.00570225,0,Phase3-微调,5e-05
auto-gn_v1_k64,99,0.00602684,0.03900817,0.00613349,0.00570225,0,Phase3-微调,5e-05
auto-gn_v1_k64,100,0.00599430,0.03892754,0.00581327,0.00570225,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,101,0.00545863,0.03850715,0.00558769,0.00558769,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,102,0.00554772,0.03922546,0.00557150,0.00557150,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,103,0.00553904,0.03929948,0.00551906,0.00551906,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,104,0.00560336,0.03964678,0.00539734,0.00539734,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,105,0.00561045,0.03986063,0.00540947,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,106,0.00561335,0.04006930,0.00624923,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,107,0.00553853,0.03982029,0.00541951,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,108,0.00554437,0.03992209,0.00562832,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,109,0.00555345,0.04002893,0.00566790,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,110,0.00555197,0.04011698,0.00556097,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,111,0.00555672,0.04021242,0.00542692,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,112,0.00552643,0.04022708,0.00588876,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,113,0.00547652,0.04000084,0.00551428,0.00539734,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,114,0.00548553,0.04004702,0.00533055,0.00533055,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,115,0.00553703,0.04038544,0.00553934,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,116,0.00548279,0.04013878,0.00533883,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,117,0.00554577,0.04049172,0.00578623,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,118,0.00554085,0.04055100,0.00558325,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,119,0.00544974,0.04016153,0.00549861,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,120,0.00547637,0.04023992,0.00575055,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,121,0.00548913,0.04039603,0.00541901,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,122,0.00548835,0.04037694,0.00586145,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,123,0.00541524,0.04011594,0.00549900,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,124,0.00544839,0.04025837,0.00534341,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,125,0.00549200,0.04048646,0.00536027,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,126,0.00542168,0.04023335,0.00533979,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,127,0.00549928,0.04054806,0.00554761,0.00533055,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,128,0.00541957,0.04025064,0.00531223,0.00531223,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,129,0.00542725,0.04029240,0.00568969,0.00531223,0,Phase3-微调,2.5e-05
