run_id,epoch,train_recon,train_vq,train_total,val_recon,val_vq,val_psnr,val_ms_ssim,best_val_recon,is_best,phase,channel_prob,channel_usage_ratio,mean_channel_snr,source_bits_per_image,source_bpp,transmission_ratio,learning_rate
rq_ema_k4-2_d2-2_rate047-20260720-173341,21,0.03521513,0.01889279,0.05410792,0.02860888,0.02045694,21.50818698,0.87609939,0.02824954,0,Phase2-退火(0%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,22,0.03448873,0.01884067,0.05332939,0.02898074,0.01799797,21.44473900,0.87674608,0.02824954,0,Phase2-退火(2%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,23,0.03399944,0.01889839,0.05289783,0.02887574,0.02065128,21.48048895,0.87800652,0.02824954,0,Phase2-退火(3%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,24,0.03334812,0.01874813,0.05209625,0.03042008,0.02191032,21.25822544,0.87602112,0.02824954,0,Phase2-退火(5%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,25,0.03343385,0.01886230,0.05229615,0.03163952,0.01867959,21.09655956,0.87473179,0.02824954,0,Phase2-退火(7%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,26,0.03336348,0.01888489,0.05224837,0.02675196,0.01657913,21.76799080,0.87865617,0.02675196,1,Phase2-退火(8%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,27,0.03221126,0.01886969,0.05108096,0.02753079,0.02100138,21.66560832,0.88231354,0.02675196,0,Phase2-退火(10%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,28,0.03238708,0.01913130,0.05151839,0.02705481,0.01732535,21.71897367,0.87904876,0.02675196,0,Phase2-退火(12%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,29,0.03225730,0.01920274,0.05146004,0.02690072,0.01940366,21.74055475,0.88068645,0.02675196,0,Phase2-退火(13%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,30,0.03157716,0.01951806,0.05109522,0.03053796,0.02665426,21.24717275,0.87987375,0.02675196,0,Phase2-退火(15%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,31,0.03196176,0.01950151,0.05146327,0.03696136,0.01961671,20.36403380,0.87268131,0.02675196,0,Phase2-退火(17%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,32,0.03117993,0.01973720,0.05091713,0.02570382,0.02209273,21.94322322,0.88488846,0.02570382,1,Phase2-退火(18%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,33,0.03108860,0.01989511,0.05098371,0.02738929,0.02045493,21.65988176,0.88081061,0.02570382,0,Phase2-退火(20%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,34,0.03083466,0.01998173,0.05081639,0.02673740,0.02394704,21.77146251,0.88545708,0.02570382,0,Phase2-退火(22%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,35,0.03069935,0.01998931,0.05068866,0.02563826,0.01867680,21.94881468,0.88555759,0.02563826,1,Phase2-退火(23%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,36,0.03032431,0.02025564,0.05057995,0.02837782,0.02886095,21.54238994,0.88482737,0.02563826,0,Phase2-退火(25%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,37,0.03042415,0.02049934,0.05092349,0.02649291,0.02391718,21.83428071,0.88440223,0.02563826,0,Phase2-退火(27%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,38,0.02968394,0.02041696,0.05010089,0.02503956,0.02267051,22.06270316,0.88741493,0.02503956,1,Phase2-退火(28%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,39,0.02995445,0.02064497,0.05059942,0.02599238,0.01988292,21.90357744,0.88637154,0.02503956,0,Phase2-退火(30%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,40,0.02924737,0.02080811,0.05005548,0.02477567,0.02037425,22.10201368,0.88697520,0.02477567,1,Phase2-退火(32%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,41,0.02929747,0.02089624,0.05019371,0.02439755,0.01926217,22.16705524,0.89012097,0.02439755,1,Phase2-退火(33%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,42,0.02896515,0.02099160,0.04995675,0.02667338,0.02405865,21.80975316,0.88857367,0.02439755,0,Phase2-退火(35%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,43,0.02890217,0.02081901,0.04972118,0.02549003,0.01897583,22.00866489,0.88641372,0.02439755,0,Phase2-退火(37%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,44,0.03086344,0.02083427,0.05169771,0.02487585,0.01846466,22.08379047,0.88852329,0.02439755,0,Phase2-退火(38%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,45,0.02938265,0.02110077,0.05048342,0.02485943,0.02220621,22.09027301,0.88898739,0.02439755,0,Phase2-退火(40%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,46,0.02793116,0.02105875,0.04898991,0.02431539,0.02123230,22.18463002,0.89039780,0.02431539,1,Phase2-退火(42%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,47,0.02794168,0.02159952,0.04954120,0.02541619,0.02442876,22.00943145,0.88877659,0.02431539,0,Phase2-退火(43%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,48,0.02798376,0.02157800,0.04956176,0.02602099,0.02057709,21.89415939,0.88474301,0.02431539,0,Phase2-退火(45%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,49,0.02802103,0.02204062,0.05006165,0.02461978,0.02269553,22.14084751,0.88957891,0.02431539,0,Phase2-退火(47%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,50,0.02776416,0.02274054,0.05050470,0.02483507,0.02640987,22.09547121,0.89104590,0.02431539,0,Phase2-退火(48%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,51,0.02756433,0.02265018,0.05021451,0.02426608,0.02193108,22.18841500,0.89179690,0.02426608,1,Phase2-退火(50%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,52,0.02701915,0.02289859,0.04991775,0.02502835,0.02157295,22.05515217,0.89059270,0.02426608,0,Phase2-退火(52%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,53,0.02875485,0.02264267,0.05139752,0.02342256,0.02246187,22.34801673,0.89308719,0.02342256,1,Phase2-退火(53%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,54,0.02673561,0.02340525,0.05014086,0.02470751,0.02084482,22.10574071,0.88531707,0.02342256,0,Phase2-退火(55%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,55,0.02668348,0.02404645,0.05072993,0.02453127,0.02429045,22.14984061,0.89259571,0.02342256,0,Phase2-退火(57%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,56,0.02664961,0.02450087,0.05115049,0.02806744,0.02108507,21.55694665,0.88293793,0.02342256,0,Phase2-退火(58%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,57,0.02652213,0.02521839,0.05174052,0.02401959,0.02618549,22.24452105,0.89283140,0.02342256,0,Phase2-退火(60%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,58,0.02626881,0.02579166,0.05206046,0.02387873,0.02418990,22.25940141,0.89316360,0.02342256,0,Phase2-退火(62%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
