run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,codebook_loss,commitment,residual_norm,projection_grad_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
residual_simvq_k16-4_d2-2_rate094-20260726-215551,40,0,,aggregate,16,1.0000000000,16,0,12.6153402328,0.1047408866,0.1047408864,0.2882685512,0.0001656812,0,"[42679,77531,39417,38460,23057,177541,41640,170206,40148,59490,20301,24692,52905,21602,58971,94400]",4.0214667320,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,40,1,0,depth,4,1.0000000000,4,0,3.9194180965,0.0073671861,0.0073671861,0.0858066123,,0,"[33481,39588,25782,24029]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,40,1,1,depth,4,1.0000000000,4,0,2.0509235859,0.0042710513,0.0042710514,0.0653354988,,0,"[565,12,64964,57339]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,40,1,,aggregate,4,1.0000000000,4,0,3.6760375500,0.0058191187,0.0058191187,0.0653354988,0.0000934344,0,"[34046,39600,90746,81368]",2.7643215656,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,50,0,0,depth,16,1.0000000000,16,0,14.1731729507,0.1212713536,0.1212713536,0.3479797393,,0,"[6804,22253,36307,9579,21755,35389,43400,33685,41003,52098,16582,19272,49444,19590,56427,27932]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,50,0,1,depth,16,1.0000000000,16,0,6.1415700912,0.0800387651,0.0800387651,0.2826548979,,0,"[29786,59904,7,34125,1260,140204,262,142353,12,5752,4599,4001,6051,1300,87,61817]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,50,0,,aggregate,16,1.0000000000,16,0,12.5467252731,0.1006550593,0.1006550593,0.2826548979,0.0001633650,0,"[36590,82157,36314,43704,23015,175593,43662,176038,41015,57850,21181,23273,55495,20890,56514,89749]",4.0174984932,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,50,1,0,depth,4,1.0000000000,4,0,3.9187116623,0.0079818958,0.0079818958,0.0893176924,,0,"[32692,39697,27610,22881]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,50,1,1,depth,4,0.7500000000,3,1,2.0849618912,0.0045416410,0.0045416409,0.0673763461,,0,"[1016,0,62958,58906]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,50,1,,aggregate,4,1.0000000000,4,0,3.6729235649,0.0062617684,0.0062617683,0.0673763461,0.0001075980,0,"[33708,39697,90568,81787]",2.9313213825,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,60,0,0,depth,16,1.0000000000,16,0,14.0206270218,0.1269290294,0.1269290294,0.3560174793,,0,"[8072,20346,41874,7874,20522,34079,44603,31362,42306,51410,16222,19386,49118,18293,58910,27143]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,60,0,1,depth,16,1.0000000000,16,0,6.1983256340,0.0816324927,0.0816324919,0.2854643911,,0,"[34471,57546,6,29429,1368,144184,333,137465,22,6336,4593,4300,6487,1277,106,63597]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,60,0,,aggregate,16,1.0000000000,16,0,12.6277198792,0.1042807611,0.1042807607,0.2854643911,0.0002382842,0,"[42543,77892,41880,37303,21890,178263,44936,168827,42328,57746,20815,23686,55605,19570,59016,90740]",4.1228733063,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,60,1,0,depth,4,1.0000000000,4,0,3.7822084427,0.0073640129,0.0073640129,0.0857872833,,0,"[31417,46070,27989,17404]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,60,1,1,depth,4,0.7500000000,3,1,2.1485977173,0.0036261814,0.0036261814,0.0601856928,,0,"[2167,0,66315,54398]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,60,1,,aggregate,4,1.0000000000,4,0,3.7167837620,0.0054950971,0.0054950971,0.0601856928,0.0001420557,0,"[33584,46070,94304,71802]",2.9155852795,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,70,0,0,depth,16,1.0000000000,16,0,13.9832715988,0.1332807992,0.1332807992,0.3648098260,,0,"[8257,19057,42038,7472,21730,34263,43721,31220,44048,52160,15491,18434,48501,18967,58696,27465]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,70,0,1,depth,16,1.0000000000,16,0,6.2167854309,0.0880204488,0.0880204488,0.2964185670,,0,"[35892,64539,8,30993,1627,128798,292,149327,21,5487,5322,3697,6037,1131,103,58246]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,70,0,,aggregate,16,1.0000000000,16,0,12.6977672577,0.1106506240,0.1106506240,0.2964185670,0.0001877458,0,"[44149,83596,42046,38465,23357,163061,44013,180547,44069,57647,20813,22131,54538,20098,58799,85711]",4.2790365219,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,70,1,0,depth,4,1.0000000000,4,0,3.6409466267,0.0058752890,0.0058752890,0.0766032759,,0,"[29522,52039,26537,14782]",,,,,
