epoch,train_recon,train_vq,train_total,val_recon
1,0.24432669579982758,1.1767470836639404,1.4210736751556396,0.051160380244255066
2,0.053893547505140305,0.17812542617321014,0.23201897740364075,0.035103149712085724
3,0.041721656918525696,0.09734989702701569,0.13907155394554138,0.03373061493039131
4,0.036032821983098984,0.07382115721702576,0.10985398292541504,0.024158315733075142
5,0.032332006841897964,0.060776010155677795,0.09310802072286606,0.04718640074133873
6,0.03028133139014244,0.05352119356393814,0.08380252122879028,0.021091800183057785
7,0.028663352131843567,0.04908742383122444,0.07775077223777771,0.02380339801311493
8,0.027408583089709282,0.046293508261442184,0.07370208948850632,0.019422579556703568
9,0.026092827320098877,0.04399242252111435,0.07008524984121323,0.018272338435053825
10,0.025205282494425774,0.042732253670692444,0.06793753802776337,0.018057135865092278
11,0.02453966625034809,0.04270675405859947,0.06724642217159271,0.017536519095301628
12,0.0234998669475317,0.043285347521305084,0.06678521633148193,0.01746259070932865
13,0.02298583649098873,0.04359724000096321,0.0665830746293068,0.01434645801782608
14,0.022187761962413788,0.043391939252614975,0.06557970494031906,0.01573728397488594
15,0.021902186796069145,0.043414607644081116,0.06531679630279541,0.019076015800237656
16,0.02150695212185383,0.04384792596101761,0.06535487622022629,0.015913154929876328
17,0.021006230264902115,0.043826207518577576,0.06483243405818939,0.015138535760343075
18,0.020837178453803062,0.04425841197371483,0.06509558856487274,0.014994134195148945
19,0.02050931006669998,0.04431495815515518,0.06482426822185516,0.013926432467997074
20,0.020244363695383072,0.044825755059719086,0.06507011502981186,0.016801536083221436
21,0.01989726349711418,0.04465022683143616,0.06454748660326004,0.013451816514134407
22,0.01986558549106121,0.045724377036094666,0.06558996438980103,0.013944889418780804
23,0.019638465717434883,0.04526550695300102,0.06490397453308105,0.013943882659077644
24,0.01954335905611515,0.046182163059711456,0.06572552025318146,0.012355494312942028
25,0.019138330593705177,0.045662473887205124,0.06480080634355545,0.01501039881259203
26,0.01920885220170021,0.04608030617237091,0.06528916209936142,0.015701433643698692
27,0.019136598333716393,0.04670029506087303,0.06583689153194427,0.012664604932069778
28,0.01879342831671238,0.04645606502890587,0.0652494952082634,0.011881672777235508
29,0.018845241516828537,0.04707144573330879,0.06591668725013733,0.013489666394889355
30,0.01867561787366867,0.04707103222608566,0.06574665009975433,0.012739854864776134
31,0.018551137298345566,0.047514673322439194,0.06606581062078476,0.012782806530594826
32,0.01837705820798874,0.046974897384643555,0.0653519555926323,0.012066114693880081
33,0.01834477297961712,0.047497667372226715,0.06584244221448898,0.01234328281134367
34,0.01856052875518799,0.048764899373054504,0.06732542812824249,0.014207683503627777
35,0.01805831864476204,0.04795671999454498,0.06601503491401672,0.011706219054758549
36,0.01793803833425045,0.04770030826330185,0.06563834846019745,0.014006225392222404
37,0.0179141815751791,0.04802970588207245,0.0659438818693161,0.011593319475650787
38,0.017880048602819443,0.04807352274656296,0.0659535750746727,0.012280663475394249
39,0.017813729122281075,0.04839858412742615,0.06621231883764267,0.012204487808048725
40,0.017712479457259178,0.048567354679107666,0.0662798285484314,0.011722104623913765
41,0.017642902210354805,0.04858476296067238,0.06622766703367233,0.011887941509485245
42,0.01734982430934906,0.048321083188056946,0.065670907497406,0.013698998838663101
43,0.01752319559454918,0.048715852200984955,0.06623905152082443,0.01276638824492693
44,0.017392316833138466,0.048677392303943634,0.06606970727443695,0.01109168492257595
45,0.017326200380921364,0.04892176017165184,0.06624796241521835,0.012763245962560177
46,0.017253750935196877,0.04906056821346283,0.06631432473659515,0.01155480369925499
47,0.017147164791822433,0.048630379140377045,0.06577754765748978,0.011716959066689014
48,0.01715420000255108,0.04953169450163841,0.06668589264154434,0.013183897361159325
49,0.017162594944238663,0.04931749776005745,0.06648009270429611,0.01278963778167963
50,0.01701921410858631,0.0493362694978714,0.06635548174381256,0.011443602852523327
51,0.016972951591014862,0.048999637365341187,0.06597258895635605,0.012638319283723831
52,0.01682368665933609,0.049085065722465515,0.0659087523818016,0.01184830442070961
53,0.0168997123837471,0.0495082288980484,0.0664079412817955,0.012382379733026028
54,0.016820335760712624,0.049279142171144485,0.06609947979450226,0.010857143439352512
55,0.016771256923675537,0.049471259117126465,0.066242516040802,0.01121834758669138
56,0.016823844984173775,0.05002804845571518,0.0668518915772438,0.01106718834489584
57,0.016754183918237686,0.04974997043609619,0.06650415062904358,0.01070478092879057
58,0.0166896004229784,0.049449026584625244,0.0661386251449585,0.011432349681854248
59,0.01670512743294239,0.04985621199011803,0.06656134128570557,0.011518743820488453
60,0.01646733097732067,0.049374159425497055,0.06584148854017258,0.0121226841583848
61,0.01644604280591011,0.04951848089694977,0.06596451997756958,0.010898862034082413
62,0.01638459600508213,0.04934344068169594,0.06572803854942322,0.01076096948236227
63,0.0163889117538929,0.04963681846857071,0.06602572649717331,0.01070767268538475
64,0.01641271635890007,0.04984631389379501,0.06625902652740479,0.010977775789797306
65,0.016250453889369965,0.049552492797374725,0.06580294668674469,0.011340143159031868
66,0.016348933801054955,0.04974330961704254,0.06609223783016205,0.011007492430508137
67,0.016233285889029503,0.04949990287423134,0.06573318690061569,0.010878265835344791
68,0.01613120175898075,0.049459319561719894,0.0655905231833458,0.01316673681139946
69,0.016221852973103523,0.04977431893348694,0.06599617004394531,0.012134864926338196
70,0.016257591545581818,0.05001365393400192,0.06627124547958374,0.010067629627883434
71,0.016164297237992287,0.04984637722373009,0.06601067632436752,0.012091463431715965
72,0.01612788438796997,0.04967375472187996,0.06580164283514023,0.010587992146611214
73,0.016097301617264748,0.04998975992202759,0.06608705967664719,0.011445039883255959
74,0.01587844267487526,0.04909158870577812,0.06497003138065338,0.01046799123287201
75,0.015904998406767845,0.04934680834412575,0.06525180488824844,0.01092075277119875
76,0.015941204503178596,0.04936954006552696,0.06531074643135071,0.011043565347790718
77,0.015872476622462273,0.04900636523962021,0.06487884372472763,0.010166238062083721
78,0.015773162245750427,0.04921507462859154,0.06498824059963226,0.010136106051504612
79,0.01580510102212429,0.04928242415189743,0.06508752703666687,0.009792253375053406
80,0.015916770324110985,0.04981956630945206,0.06573633849620819,0.010980624705553055
81,0.01592475362122059,0.04994944855570793,0.06587420403957367,0.010279561392962933
82,0.015615453012287617,0.04866132512688637,0.06427677720785141,0.010739762336015701
83,0.015696492046117783,0.04947381094098091,0.0651703029870987,0.010319188237190247
84,0.015673408284783363,0.04926983639597893,0.06494324654340744,0.01010938361287117
85,0.015605464577674866,0.049080923199653625,0.06468638777732849,0.01043589599430561
86,0.01563289389014244,0.049223143607378006,0.06485603749752045,0.011353262700140476
87,0.015665285289287567,0.049159470945596695,0.06482475250959396,0.010030324570834637
88,0.015643339604139328,0.04913625493645668,0.06477959454059601,0.009929345920681953
89,0.01552547700703144,0.049062442034482956,0.06458792090415955,0.010023515671491623
90,0.01562083512544632,0.0491570420563221,0.06477787345647812,0.009963094256818295
