run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,codebook_loss,commitment,residual_norm,projection_grad_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,40,1,0,depth,2,1.0000000000,2,0,1.9990992546,0.0199741106,0.0199741106,0.1412318043,,0,"[63284,59596]",11.2213287354,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,40,1,1,depth,2,1.0000000000,2,0,1.9995050430,0.0099726727,0.0099726729,0.0997570664,,0,"[62807,60073]",4.6135802269,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,40,1,,aggregate,4,1.0000000000,4,0,3.9986040592,0.0149733917,0.0149733918,0.0997570664,0.0001768267,0,"[63284,59596,62807,60073]",3.0416858196,0,0.0000000000,4,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,50,0,0,depth,8,1.0000000000,8,0,7.7811708450,0.2801065013,0.2801065013,0.5286144644,,0,"[39674,85123,50722,50006,67458,79088,55083,64366]",7.5965352058,0,0.0000000000,8,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,50,0,1,depth,2,1.0000000000,2,0,1.9999928474,0.2546010062,0.2546010055,0.5039242312,,0,"[246421,245099]",5.0305795670,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,50,0,,aggregate,10,1.0000000000,10,0,7.8898115158,0.2673537537,0.2673537534,0.5039242312,0.0002821278,0,"[39674,85123,50722,50006,67458,79088,55083,64366,246421,245099]",4.7126536369,0,0.0000000000,10,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,50,1,0,depth,2,1.0000000000,2,0,1.9994400740,0.0287713308,0.0287713308,0.1695221521,,0,"[59986,62894]",12.1606893539,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,50,1,1,depth,2,1.0000000000,2,0,1.9999160767,0.0159844538,0.0159844539,0.1263060935,,0,"[62003,60877]",4.4911184311,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,50,1,,aggregate,4,1.0000000000,4,0,3.9993557930,0.0223778923,0.0223778923,0.1263060935,0.0001557899,0,"[59986,62894,62003,60877]",3.3942320347,0,0.0000000000,4,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,60,0,0,depth,8,1.0000000000,8,0,7.7947883606,0.2570290118,0.2570290118,0.5063969746,,0,"[42719,88755,46631,56972,63829,76270,54383,61961]",7.7789020538,0,0.0000000000,8,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,60,0,1,depth,2,1.0000000000,2,0,1.9937347174,0.2323935181,0.2323935188,0.4814721808,,0,"[265218,226302]",5.0596122742,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,60,0,,aggregate,10,1.0000000000,10,0,7.8843488693,0.2447112650,0.2447112653,0.4814721808,0.0002741450,0,"[42719,88755,46631,56972,63829,76270,54383,61961,265218,226302]",4.6343946457,0,0.0000000000,10,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,60,1,0,depth,2,1.0000000000,2,0,1.9877629280,0.0245738281,0.0245738281,0.1566719413,,0,"[54640,68240]",12.1285724640,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,60,1,1,depth,2,1.0000000000,2,0,1.9926555157,0.0131310405,0.0131310406,0.1144873284,,0,"[66707,56173]",4.0459470749,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,60,1,,aggregate,4,1.0000000000,4,0,3.9804158211,0.0188524343,0.0188524344,0.1144873284,0.0001329180,0,"[54640,68240,66707,56173]",3.5598239899,0,0.0000000000,4,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,70,0,0,depth,8,1.0000000000,8,0,7.8307423592,0.2802499510,0.2802499510,0.5287372947,,0,"[42641,85793,53884,57925,64611,76265,54428,55973]",7.8257188797,0,0.0000000000,8,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,70,0,1,depth,2,1.0000000000,2,0,1.9939697981,0.2545467257,0.2545467265,0.5038662881,,0,"[264849,226671]",5.0006012917,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,70,0,,aggregate,10,1.0000000000,10,0,7.9029769897,0.2673983384,0.2673983388,0.5038662881,0.0002643825,0,"[42641,85793,53884,57925,64611,76265,54428,55973,264849,226671]",4.5049505234,0,0.0000000000,10,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,70,1,0,depth,2,1.0000000000,2,0,1.9887700081,0.0160461128,0.0160461128,0.1265802316,,0,"[54926,67954]",12.9568576813,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,70,1,1,depth,2,1.0000000000,2,0,1.9997527599,0.0098807030,0.0098807030,0.0992885426,,0,"[62406,60474]",3.6456453800,0,0.0000000000,2,1
stagewise_residual_simvq_k8x2-2x2_rate047-20260729-233115,70,1,,aggregate,4,1.0000000000,4,0,3.9885070324,0.0129634079,0.0129634079,0.0992885426,0.0001006286,0,"[54926,67954,62406,60474]",3.6456453800,0,0.0000000000,4,1
